Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 0.5; max tp 451.0; max fp 34005.0; min fn 1062.0; max tp_pred_crit 254.12769309986422; max tp_gt_crit 257.6561911598751; max fp_pred_crit 18196.628780059928; min fn_gt_crit 576.3127260209194
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 1.0; max tp 887.0; max fp 33569.0; min fn 626.0; max tp_pred_crit 502.194990411475; max tp_gt_crit 510.20972118241025; max fp_pred_crit 17948.561482748333; min fn_gt_crit 328.24542870930946
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 2.0; max tp 1107.0; max fp 33349.0; min fn 406.0; max tp_pred_crit 604.6483493760368; max tp_gt_crit 621.0311753385516; max fp_pred_crit 17846.10812378377; min fn_gt_crit 225.79206974474744
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 4.0; max tp 1182.0; max fp 33274.0; min fn 331.0; max tp_pred_crit 647.0249613715226; max tp_gt_crit 661.2508238970778; max fp_pred_crit 17803.73151178828; min fn_gt_crit 183.41545774926112
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 0.5; max tp 21949.0; max fp 127820.0; min fn 1551.0; max tp_pred_crit 15295.187209043139; max tp_gt_crit 15300.160066911785; max fp_pred_crit 80176.76548526817; min fn_gt_crit 1069.290182965351
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 1.0; max tp 22121.0; max fp 127648.0; min fn 1379.0; max tp_pred_crit 15426.023184822963; max tp_gt_crit 15430.843696225213; max fp_pred_crit 80045.92950948828; min fn_gt_crit 938.4542071855267
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 2.0; max tp 22338.0; max fp 127431.0; min fn 1162.0; max tp_pred_crit 15577.198716205527; max tp_gt_crit 15583.981402401807; max fp_pred_crit 79894.75397810563; min fn_gt_crit 787.2786758029433
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 4.0; max tp 22613.0; max fp 127156.0; min fn 887.0; max tp_pred_crit 15786.547552061696; max tp_gt_crit 15784.435482914078; max fp_pred_crit 79685.40514224945; min fn_gt_crit 577.9298399467607
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 0.5; max tp 1436.0; max fp 25093.0; min fn 419.0; max tp_pred_crit 1076.7581477006622; max tp_gt_crit 1075.3609497898683; max fp_pred_crit 15941.326615345228; min fn_gt_crit 239.42209172480102
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 1.0; max tp 1537.0; max fp 24992.0; min fn 318.0; max tp_pred_crit 1135.6234122746916; max tp_gt_crit 1133.610795924485; max fp_pred_crit 15882.461350771187; min fn_gt_crit 180.5568271507709
