Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 4.0; max tp 1571.0; max fp 19654.0; min fn 284.0; max tp_pred_crit 1164.3608666043147; max tp_gt_crit 1154.3924678737603; max fp_pred_crit 12335.572213183908; min fn_gt_crit 151.8193728211511
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 0.5; max tp 1152.0; max fp 35565.0; min fn 672.0; max tp_pred_crit 894.7847978368978; max tp_gt_crit 891.9227233565672; max fp_pred_crit 25442.94243329753; min fn_gt_crit 459.68417306868844
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 1.0; max tp 1258.0; max fp 35459.0; min fn 566.0; max tp_pred_crit 972.1737037241237; max tp_gt_crit 969.8091842449526; max fp_pred_crit 25365.5535274103; min fn_gt_crit 382.2952671814621
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 2.0; max tp 1300.0; max fp 35417.0; min fn 524.0; max tp_pred_crit 1003.3482373801769; max tp_gt_crit 1000.6767996192776; max fp_pred_crit 25334.378993754246; min fn_gt_crit 351.1207335254088
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 4.0; max tp 1363.0; max fp 35354.0; min fn 461.0; max tp_pred_crit 1047.4915982954142; max tp_gt_crit 1044.7808872622957; max fp_pred_crit 25290.235632839012; min fn_gt_crit 306.97737261017164
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 0.5; max tp 7799.0; max fp 62011.0; min fn 2771.0; max tp_pred_crit 6602.8279182887545; max tp_gt_crit 6609.648585873821; max fp_pred_crit 49994.04597865003; min fn_gt_crit 2246.5028224344032
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 1.0; max tp 8070.0; max fp 61740.0; min fn 2500.0; max tp_pred_crit 6830.190982777483; max tp_gt_crit 6842.534339548098; max fp_pred_crit 49766.68291416121; min fn_gt_crit 2019.1397579456852
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 2.0; max tp 8393.0; max fp 61417.0; min fn 2177.0; max tp_pred_crit 7098.931869274479; max tp_gt_crit 7110.505980299298; max fp_pred_crit 49497.942027664256; min fn_gt_crit 1750.398871448706
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 4.0; max tp 8805.0; max fp 61005.0; min fn 1765.0; max tp_pred_crit 7420.443414186027; max tp_gt_crit 7460.208624204241; max fp_pred_crit 49176.43048275257; min fn_gt_crit 1428.887326537143
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name barrier; dist_th 0.5; max tp 10983.0; max fp 56662.0; min fn 4920.0; max tp_pred_crit 8740.153218517662; max tp_gt_crit 8704.295166819327; max fp_pred_crit 42574.90593497419; min fn_gt_crit 3824.8743928924414
